title	uniqueCode	path	targetPos
1001|	25	/images/1001.png	124.55,27,180.1332
1003|	26	/images/1003.png	124.55,27,160.7834
1004|	27	/images/1004.png	124.55,27,140.3172
1005|	28	/images/1005.png	124.55,27,120.0336
1006|	29	/images/1006.png	124.55,27,99.96643
1007|	30	/images/1007.png	124.55,27,79.96643
1008|	31	/images/1008.png	124.55,27,59.96643
1010|	32	/images/1010.png	124.55,27,39.96643
1012|	33	/images/1012.png	109.5318,27.2205,2.7
1019|	40	/images/1019.png	-59.23334,27.1575,2.7
1030|	45	/images/1030.png	-124.55,27,33.54795
1032|	46	/images/1032.png	-124.55,26.9685,51.57749
1033|	47	/images/1033.png	-124.55,27,70.02029
1038|	48	/images/1038.png	-124.55,27,88.57234
1040|	49	/images/1040.png	-124.55,27,108.1796
1041|	50	/images/1041.png	-124.55,27,129.4561
1042|	51	/images/1042.png	-124.55,26.9055,148.8928
1043|	52	/images/1043.png	-124.55,27,168.0029
1047|	56	/images/1047.png	-65.76007,22.6215,100.8109
1048|	57	/images/1048.png	-65.76007,22.653,82.03147
1049|	58	/images/1049.png	-65.76007,22.779,63.43046
1044|	53	/images/1044.png	-51.36007,24.543,67.42965
1045|	54	/images/1045.png	-51.36007,24.6375,85.62361
1046|	55	/images/1046.png	-51.36007,24.669,103.1682
1057|	42	/images/1057.png	28.64791,22.401,93.71698
1058|	43	/images/1058.png	13.37137,22.401,105.76
1059|	44	/images/1059.png	-1.086876,22.464,117.158
1050|	34	/images/1050.png	71.45475,22.464,63.74091
1051|	35	/images/1051.png	71.45475,22.5585,82.93795
1052|	36	/images/1052.png	71.45475,22.527,101.9607
1054|	38	/images/1054.png	57.05475,22.6845,101.2504
1055|	39	/images/1055.png	57.05475,22.8105,81.3009
1056|	41	/images/1056.png	57.05475,22.779,62.8141
