title	uniqueCode	path	targetPos
que (1)|	9	/images/que (1).png	12.18036,19.5,41.6836
que (2)|	10	/images/que (2).png	25.16037,19.5,41.4236
que (3)|	11	/images/que (3).png	38.04036,19.5,41.4136
que (4)|	12	/images/que (4).png	50.99037,19.5,41.5236
que (5)|	13	/images/que (5).png	63.98038,19.5,41.7036
que (6)|	14	/images/que (6).png	81.04585,19.5,58.77308
que (7)|	15	/images/que (7).png	81.31584,19.5,71.75309
que (8)|	16	/images/que (8).png	81.32584,19.5,84.63308
que (9)|	17	/images/que (9).png	81.21584,19.5,97.58309
que (10)|	18	/images/que (10).png	81.03584,19.5,110.5731
que (11)|	19	/images/que (11).png	64.62374,19.5,127.1458
que (12)|	20	/images/que (12).png	51.64373,19.5,127.4258
que (13)|	21	/images/que (13).png	38.76374,19.5,127.4258
que (14)|	22	/images/que (14).png	25.81373,19.5,127.3158
que (15)|	23	/images/que (15).png	12.82372,19.5,127.1358
que (16)|	24	/images/que (16).png	-5.475981,19.5,127.1542
que (17)|	25	/images/que (17).png	-18.45599,19.5,127.4242
que (18)|	26	/images/que (18).png	-31.33598,19.5,127.4342
que (19)|	27	/images/que (19).png	-44.28599,19.5,127.3242
que (20)|	28	/images/que (20).png	-57.276,19.5,127.1442
que (21)|	29	/images/que (21).png	-73.83526,19.5,110.8084
que (22)|	30	/images/que (22).png	-74.10526,19.5,97.82838
que (23)|	31	/images/que (23).png	-74.11526,19.5,84.94839
que (24)|	32	/images/que (24).png	-74.00526,19.5,71.99838
que (25)|	33	/images/que (25).png	-73.82526,19.5,59.00837
que (26)|	34	/images/que (26).png	-57.11442,19.5,174.5137
que (27)|	35	/images/que (27).png	-44.13441,19.5,174.2437
que (28)|	36	/images/que (28).png	-31.25442,19.5,174.2337
que (29)|	37	/images/que (29).png	-18.30441,19.5,174.3437
que (30)|	38	/images/que (30).png	-5.3144,19.5,174.5237
que (31)|	39	/images/que (31).png	12.54926,19.5,174.5137
que (32)|	40	/images/que (32).png	25.52927,19.5,174.2437
que (33)|	41	/images/que (33).png	38.40926,19.5,174.2337
que (34)|	42	/images/que (34).png	51.35927,19.5,174.3437
que (35)|	43	/images/que (35).png	64.34928,19.5,174.5237
que (36)|	44	/images/que (36).png	79.8658,19.5,191.175
que (37)|	45	/images/que (37).png	80.1358,19.5,204.155
que (38)|	46	/images/que (38).png	80.1458,19.5,217.035
que (39)|	47	/images/que (39).png	80.0358,19.5,229.985
que (40)|	48	/images/que (40).png	79.8558,19.5,242.975
que (41)|	49	/images/que (41).png	63.69472,19.5,259.6727
que (42)|	50	/images/que (42).png	50.71471,19.5,259.9427
que (44)|	52	/images/que (44).png	24.88471,19.5,259.8427
que (43)|	51	/images/que (43).png	37.83472,19.5,259.9527
que (45)|	53	/images/que (45).png	11.8947,19.5,259.6427
que (46)|	54	/images/que (46).png	-6.231171,19.5,259.6727
que (47)|	55	/images/que (47).png	-19.21118,19.5,259.9427
que (48)|	56	/images/que (48).png	-32.09117,19.5,259.9527
que (49)|	57	/images/que (49).png	-45.04118,19.5,259.8427
que (50)|	58	/images/que (50).png	-58.03119,19.5,259.6627
que (46)|	59	/images/que (46).png	124.55,27,292.121
que (47)|	60	/images/que (47).png	124.55,27,275.3677
que (48)|	61	/images/que (48).png	124.55,27,258.6921
que (49)|	62	/images/que (49).png	124.55,27,241.9126
que (50)|	63	/images/que (50).png	124.55,27,225.4071
que (51)|	64	/images/que (51).png	124.55,27,207.7815
que (52)|	65	/images/que (52).png	124.55,27,190.3213
que (53)|	66	/images/que (53).png	124.55,27,173.5418
que (54)|	67	/images/que (54).png	124.55,27,156.7153
que (55)|	68	/images/que (55).png	124.55,27,139.4613
que (56)|	69	/images/que (56).png	124.55,27,122.782
que (57)|	70	/images/que (57).png	124.55,27,104.0816
que (58)|	71	/images/que (58).png	124.55,27,85.284
que (59)|	72	/images/que (59).png	124.55,27,67.05368
que (60)|	73	/images/que (60).png	124.55,27,49.7232
que (61)|	74	/images/que (61).png	124.55,27,32.0583
que (62)|	75	/images/que (62).png	106.4729,27,2.7
que (63)|	76	/images/que (63).png	86.22569,27,2.7
que (64)|	77	/images/que (64).png	66.29815,27,2.7
que (65)|	78	/images/que (65).png	44.8992,27,2.7
que (66)|	79	/images/que (66).png	-36.77326,27,2.7
que (67)|	80	/images/que (67).png	-59.24065,27,2.7
que (68)|	81	/images/que (68).png	-82.52552,27,2.7
que (69)|	82	/images/que (69).png	-105.1009,27,2.7
que (70)|	83	/images/que (70).png	-124.55,27,32.1363
que (71)|	84	/images/que (71).png	-124.55,27,49.6341
que (72)|	85	/images/que (72).png	-124.55,27,67.36897
que (73)|	86	/images/que (73).png	-124.55,27,85.5414
que (74)|	87	/images/que (74).png	-124.55,27,105.0693
que (75)|	88	/images/que (75).png	-124.55,27,124.5884
que (76)|	89	/images/que (76).png	-124.55,27,144.2332
que (77)|	90	/images/que (77).png	-124.55,27,166.6793
