id	type	x	y	z	theta	gyokaku
11	wid	-60	73.5	56.90121	38.75661	192.0974
13	wid	-90	73.5	162.2715	43.60118	268.1629
15	wid	0	73.5	159.6071	39.19702	257.849
16	wid	-30	73.5	154.6216	42.27993	269.4521
17	wid	60	73.5	161.4377	43.16076	268.1629
20	spot	0	73.5	58.58595	34.35244	301.6833
22	spot	30	73.5	91.98444	33.47161	0
23	spot	30	73.5	56.34232	32.59078	0
24	spot	90	73.5	78.60003	26.42496	163.7341
25	spot	90	73.5	86.93672	28.06995	220.4609
26	spot	90	73.5	154.3995	43.60118	339.0714
27	spot	90	73.5	129.6779	41.3991	0
28	spot	90	73.5	88.68719	43.16077	0
29	spot	90	73.5	49.57883	42.27994	0
30	spot	90	73.5	46.22957	48.44576	48.99131
31	spot	90	73.5	40.07882	40.95868	103.1396
32	spot	30	73.5	32.13407	36.55453	67.04076
33	spot	-30	73.5	44.01046	46.68409	94.11486
34	spot	-60	73.5	38.63358	45.80326	100.0776
35	spot	-90	73.5	37.27037	43.16077	109.5858
36	spot	-90	73.5	35.37044	42.27994	166.3126
37	spot	-90	73.5	59.79831	43.16077	181.7835
38	spot	-90	73.5	96.17149	40.95869	184.362
39	spot	-90	73.5	141.3662	41.83952	174.048
40	spot	-90	73.5	157.0988	44.0416	202.4114
41	spot	-30	73.5	52.12457	32.59079	220.4609
42	spot	-30	73.5	80.55302	33.47162	234.6426
43	spot	-90	73.5	79.61006	31.70996	10.31396
44	spot	-90	73.5	94.3015	27.7462	335.2037
45	spot	-30	73.5	19.57231	21.02329	287.5016
46	spot	-30	73.5	15.72553	33.91203	242.378
47	spot	30	73.5	128.8877	32.15036	110.8751
48	spot	30	73.5	135.6306	39.52076	154.7094
