id	type	x	y	z	theta	gyokaku	range	spotAngle	intensity	color
2	wid	-30	73.5	26.92651	28.09518	281.0405	300	72.31241	1	1,1,1,1
3	wid	30	73.5	22.5472	29.692	277.2681	200	90	1	1,1,1,1
4	wid	90	73.5	84.49032	0	0	205	70.00532	1	1,1,1,1
5	wid	30	73.5	174.0887	34.1756	71.45899	251	59.58141	1	1,1,1,1
6	wid	-30	73.5	166.5114	38.13799	97.07927	227	63.97925	1	1,1,1,1
7	wid	-90	73.5	85.91722	0	0	185	90	1	1,1,1,1
8	wid	-30	73.5	144.1553	35.6615	267.8667	189	63.61277	1	1,1,1,1
9	wid	30	73.5	137.6509	41.10978	274.1589	183	66.17822	1	1,1,1,1
10	wid	90	73.5	221.1645	21.29783	177.9786	216	80.47128	1	1,1,1,1
11	wid	30	73.5	296.8594	52.99695	78.20271	181	90	1	1,1,1,1
12	wid	-60	73.5	235.8907	52.00635	278.6534	300	90	1	1,1,1,1
13	wid	60	73.5	247.7155	52.99695	260.6757	256	90	1	1,1,1,1
15	wid	90	73.5	257.2993	24.26963	0	205	90	1	1,1,1,1
16	wid	90	73.5	180.3148	25.26023	0	177	90	1	1,1,1,1
17	wid	90	73.5	114.3454	29.22262	0	185	90	1	1,1,1,1
18	wid	90	73.5	42.72716	29.71791	49.43848	191	90	1	1,1,1,1
19	wid	30	73.5	55.35623	36.6521	89.88818	186	90	1	1,1,1,1
20	wid	-60	73.5	57.60442	35.1662	97.07925	252	90	1	1,1,1,1
21	wid	-60	73.5	67.94412	46.06276	184.2707	229	72.77502	1	1,1,1,1
22	wid	-60	73.5	145.8395	32.1944	186.0685	244	90	1	1,1,1,1
23	wid	-90	73.5	248.2485	31.20381	187.5247	148	90	1	1,1,1,1
