ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
9	./Images/ichiran1.jpg	0,37.5,197.5	1,0,0	0,1,0	0,0,1	59.72482	1.344	0.2	12	none(caption)	-1:-1	13
10	./Images/ichiran2.jpg	0,37.5,197.5	1,0,0	0,1,0	0,0,1	-60.32767	1.375499	0.2	12	none(caption)	-1:-1	14
18	./Images/riddle/que/1001m.png	126.75,37.5,100	0,0,-1	0,1,0	1,0,0	-80.13318	-10.5	0.2	1.5	Wooden_thin2	-1:-1	25
19	./Images/riddle/que/1003m.png	126.75,37.5,100	0,0,-1	0,1,0	1,0,0	-60.78339	-10.5	0.2	1.5	Wooden_thin2	-1:-1	26
20	./Images/riddle/que/1004m.png	126.75,37.5,100	0,0,-1	0,1,0	1,0,0	-40.31721	-10.5	0.2	1.5	Wooden_thin2	-1:-1	27
21	./Images/riddle/que/1005m.png	126.75,37.5,100	0,0,-1	0,1,0	1,0,0	-20.03357	-10.5	0.2	1.5	Wooden_thin2	-1:-1	28
22	./Images/riddle/que/1006m.png	126.75,37.5,100	0,0,-1	0,1,0	1,0,0	0.03357	-10.5	0.2	1.5	Wooden_thin2	-1:-1	29
23	./Images/riddle/que/1007m.png	126.75,37.5,100	0,0,-1	0,1,0	1,0,0	20.03357	-10.5	0.2	1.5	Wooden_thin2	-1:-1	30
24	./Images/riddle/que/1008m.png	126.75,37.5,100	0,0,-1	0,1,0	1,0,0	40.03357	-10.5	0.2	1.5	Wooden_thin2	-1:-1	31
25	./Images/riddle/que/1010m.png	126.75,37.5,100	0,0,-1	0,1,0	1,0,0	60.03357	-10.5	0.2	1.5	Wooden_thin2	-1:-1	32
2	./Images/riddle/que/1011m.png	126.75,37.5,100	0,0,-1	0,1,0	1,0,0	80.03357	-10.5	0.2	1.5	Wooden_thin2	-1:-1	33
3	./Images/riddle/que/1012m.png	72.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-37.03179	-10.2795	0.2	1.5	Wooden_thin2	-1:-1	33
4	./Images/riddle/que/1013m.png	72.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-18.40024	-10.311	0.2	1.5	Wooden_thin2	-1:-1	34
5	./Images/riddle/que/1014m.png	72.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	0.3866974	-10.437	0.2	1.5	Wooden_thin2	-1:-1	35
6	./Images/riddle/que/1015m.png	72.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	20.24993	-10.5	0.2	1.5	Wooden_thin2	-1:-1	36
8	./Images/riddle/que/1016m.png	-72.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-48.91575	-10.3425	0.2	1.5	Wooden_thin2	-1:-1	38
9	./Images/riddle/que/1017m.png	-72.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-31.05907	-10.3425	0.2	1.5	Wooden_thin2	-1:-1	39
10	./Images/riddle/que/1019m.png	-72.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	-13.26666	-10.3425	0.2	1.5	Wooden_thin2	-1:-1	40
11	./Images/riddle/que/1022m.png	-72.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	4.453397	-10.4055	0.2	1.5	Wooden_thin2	-1:-1	41
12	./Images/riddle/que/1023m.png	-72.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	21.81273	-10.2795	0.2	1.5	Wooden_thin2	-1:-1	42
13	./Images/riddle/que/1027m.png	72.5,37.5,0.5	-1,0,0	0,1,0	0,0,-1	40.78444	-10.5	0.2	1.5	Wooden_thin2	-1:-1	43
14	./Images/riddle/que/1028m.png	-126.75,37.5,100	0,0,1	0,1,0	-1,0,0	-83.94164	-10.5	0.2	1.5	Wooden_thin2	-1:-1	44
15	./Images/riddle/que/1030m.png	-126.75,37.5,100	0,0,1	0,1,0	-1,0,0	-66.45205	-10.5	0.2	1.5	Wooden_thin2	-1:-1	45
16	./Images/riddle/que/1032m.png	-126.75,37.5,100	0,0,1	0,1,0	-1,0,0	-48.42251	-10.5315	0.2	1.5	Wooden_thin2	-1:-1	46
17	./Images/riddle/que/1033m.png	-126.75,37.5,100	0,0,1	0,1,0	-1,0,0	-29.97971	-10.5	0.2	1.5	Wooden_thin2	-1:-1	47
18	./Images/riddle/que/1038m.png	-126.75,37.5,100	0,0,1	0,1,0	-1,0,0	-11.01816	-10.5945	0.2	1.5	Wooden_thin2	-1:-1	48
