id	data	x	y	z	theta	size	parent	uniqueCode
3	Images/riddle/imag/tit (1).jpg,Wooden_thin2	0.2300001	5.500001	-25.98	0,11.42,0	1	1	9
4	Images/riddle/imag/tit (2).jpg,Wooden_thin2	-0.03000001	5.5	-12.99999	0,11.42,0	1	1	10
5	Images/riddle/imag/tit (3).jpg,Wooden_thin2	-0.03999996	5.5	-0.1199999	0,11.41999,0	1	1	11
6	Images/riddle/imag/tit (4).jpg,Wooden_thin2	0.06999995	5.5	12.83001	0,11.42,0	1	1	12
7	Images/riddle/imag/tit (5).jpg,Wooden_thin2	0.25	5.500001	25.82002	0,11.42,0	1	1	13
8	Images/riddle/imag/tit (6).jpg,Wooden_thin2	0.2400001	5.500001	-25.98	0,11.42,0	1	2	14
9	Images/riddle/imag/tit (7).jpg,Wooden_thin2	-0.03000001	5.5	-12.99999	0,11.42,0	1	2	15
10	Images/riddle/imag/tit (8).jpg,Wooden_thin2	-0.03999996	5.5	-0.1199999	0,11.41999,0	1	2	16
11	Images/riddle/imag/tit (9).jpg,Wooden_thin2	0.06999995	5.5	12.83001	0,11.42,0	1	2	17
12	Images/riddle/imag/tit (10).jpg,Wooden_thin2	0.25	5.500001	25.82002	0,11.42,0	1	2	18
13	Images/riddle/imag/tit (11).jpg,Wooden_thin2	0.2400001	5.500001	-25.98	0,11.42,0	1	3	19
14	Images/riddle/imag/tit (12).jpg,Wooden_thin2	-0.04000001	5.5	-12.99999	0,11.42,0	1	3	20
15	Images/riddle/imag/tit (13).jpg,Wooden_thin2	-0.03999996	5.5	-0.1199999	0,11.41999,0	1	3	21
16	Images/riddle/imag/tit (14).jpg,Wooden_thin2	0.06999995	5.5	12.83001	0,11.42,0	1	3	22
17	Images/riddle/imag/tit (15).jpg,Wooden_thin2	0.25	5.500001	25.82002	0,11.42,0	1	3	23
18	Images/riddle/imag/tit (16).jpg,Wooden_thin2	0.2400001	5.500001	-25.98	0,11.42,0	1	4	24
19	Images/riddle/imag/tit (17).jpg,Wooden_thin2	-0.03000001	5.5	-12.99999	0,11.42,0	1	4	25
20	Images/riddle/imag/tit (18).jpg,Wooden_thin2	-0.03999996	5.5	-0.1199999	0,11.41999,0	1	4	26
21	Images/riddle/imag/tit (19).jpg,Wooden_thin2	0.06999995	5.5	12.83001	0,11.42,0	1	4	27
22	Images/riddle/imag/tit (20).jpg,Wooden_thin2	0.25	5.500001	25.82002	0,11.42,0	1	4	28
23	Images/riddle/imag/tit (21).jpg,Wooden_thin2	0.2400001	5.500001	-25.98	0,11.42,0	1	5	29
24	Images/riddle/imag/tit (22).jpg,Wooden_thin2	-0.03000001	5.5	-12.99999	0,11.42,0	1	5	30
25	Images/riddle/imag/tit (23).jpg,Wooden_thin2	-0.03999996	5.5	-0.1199999	0,11.41999,0	1	5	31
26	Images/riddle/imag/tit (24).jpg,Wooden_thin2	0.06999995	5.5	12.83001	0,11.42,0	1	5	32
27	Images/riddle/imag/tit (25).jpg,Wooden_thin2	0.25	5.500001	25.82002	0,11.42,0	1	5	33
28	Images/riddle/imag/tit (26).jpg,Wooden_thin2	0.2400001	5.500001	-25.98	0,11.42,0	1	6	34
29	Images/riddle/imag/tit (27).jpg,Wooden_thin2	-0.03000001	5.5	-12.99999	0,11.42,0	1	6	35
30	Images/riddle/imag/tit (28).jpg,Wooden_thin2	-0.03999996	5.5	-0.1199999	0,11.41999,0	1	6	36
31	Images/riddle/imag/tit (29).jpg,Wooden_thin2	0.06999995	5.5	12.83001	0,11.42,0	1	6	37
32	Images/riddle/imag/tit (30).jpg,Wooden_thin2	0.25	5.500001	25.82002	0,11.42,0	1	6	38
33	Images/riddle/imag/tit (31).jpg,Wooden_thin2	0.2400001	5.500001	-25.98	0,11.42,0	1	7	39
34	Images/riddle/imag/tit (32).jpg,Wooden_thin2	-0.03000001	5.5	-12.99999	0,11.42,0	1	7	40
35	Images/riddle/imag/tit (33).jpg,Wooden_thin2	-0.03999996	5.5	-0.1199999	0,11.41999,0	1	7	41
36	Images/riddle/imag/tit (34).jpg,Wooden_thin2	0.06999995	5.5	12.83001	0,11.42,0	1	7	42
37	Images/riddle/imag/tit (35).jpg,Wooden_thin2	0.25	5.500001	25.82002	0,11.42,0	1	7	43
38	Images/riddle/imag/tit (36).jpg,Wooden_thin2	0.2400001	5.500001	-25.98	0,11.42,0	1	8	44
39	Images/riddle/imag/tit (37).jpg,Wooden_thin2	-0.03000001	5.5	-12.99999	0,11.42,0	1	8	45
40	Images/riddle/imag/tit (38).jpg,Wooden_thin2	-0.03999996	5.5	-0.1199999	0,11.41999,0	1	8	46
41	Images/riddle/imag/tit (39).jpg,Wooden_thin2	0.06999995	5.5	12.83001	0,11.42,0	1	8	47
42	Images/riddle/imag/tit (40).jpg,Wooden_thin2	0.25	5.500001	25.82002	0,11.42,0	1	8	48
43	Images/riddle/imag/tit (41).jpg,Wooden_thin2	0.2400001	5.500001	-25.98	0,11.42,0	1	9	49
44	Images/riddle/imag/tit (42).jpg,Wooden_thin2	-0.03000001	5.5	-12.99999	0,11.42,0	1	9	50
45	Images/riddle/imag/tit (43).jpg,Wooden_thin2	-0.03999996	5.5	-0.1199999	0,11.41999,0	1	9	51
46	Images/riddle/imag/tit (44).jpg,Wooden_thin2	0.06999995	5.5	12.83001	0,11.42,0	1	9	52
47	Images/riddle/imag/tit (45).jpg,Wooden_thin2	0.27	5.500001	25.82002	0,11.42,0	1	9	53
