id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		7.768738,6.752099,-26.64928	0.09410832,0,0.995562		11.67003
2	3	1		-29.88793,6.75,13.32928	0.03141078,0,0.9995065		16.92003
3	4	2		6.605385,6.75,30.18408	0.2990407,0,0.9542403		14.52003
4	5	3		10.56309,6.772446,55.94524	0.4115144,0,0.9114033		10.92003
5	55	4		-14.8796,6.75,83.0084	0.5202645,0,0.8540052		12.12003
6	7	55		107.5214,8.656742,182.8087	0.9999452,0,-0.01047289		1.170035
7	8	6		107.2913,8.656742,160.8292	0.9999452,0,-0.01047289		1.170035
8	9	7		107.0822,8.656742,140.8518	0.9999452,0,-0.01047289		1.170035
9	10	8		106.88,8.656742,121.5423	0.9999452,0,-0.01047289		1.170035
10	11	9		106.6779,8.656742,102.2366	0.9999452,0,-0.01047289		1.170035
11	12	10		106.4478,8.656742,80.26112	0.9999452,0,-0.01047289		1.170035
12	13	11		106.2457,8.656742,60.95234	0.9999452,0,-0.01047289		1.170035
13	14	12		106.0434,8.656742,41.62626	0.9999452,0,-0.01047289		1.170035
14	56	13		105.8273,8.656742,20.99039	0.9999452,0,-0.01047289		1.170035
15	16	56		111.1375,8.832267,20.71802	0,0,-0.9999967		0.5700355
16	17	15		91.82124,8.832267,21.43454	0,0,-0.9999967		0.5700355
17	18	16		73.16055,8.832267,21.46905	0,0,-0.9999967		0.5700355
18	19	17		53.17622,8.832267,21.52117	0,0,-0.9999967		0.5700355
19	20	18		33.18778,8.832267,21.57331	0,0,-0.9999967		0.5700355
20	21	19		-21.43546,8.832267,21.71578	0,0,-0.9999967		0.5700355
21	22	20		-39.41434,8.832267,21.76267	0,0,-0.9999967		0.5700355
22	23	21		-55.39499,8.832267,21.80435	0,0,-0.9999967		0.5700355
23	24	22		-75.37821,8.832267,21.85647	0,0,-0.9999967		0.5700355
24	25	23		-94.03201,8.832267,21.90513	0,0,-0.9999967		0.5700355
25	57	24		-111.351,8.832267,21.9503	0,0,-0.9999967		0.5700355
26	27	57		-106.4122,8.656743,16.27665	-0.999945,0,-0.0104934		1.170033
27	28	26		-106.5799,8.656743,32.25999	-0.999945,0,-0.0104934		1.170033
28	29	27		-106.7615,8.656743,49.56633	-0.999945,0,-0.0104934		1.170033
29	30	28		-106.978,8.656743,70.20253	-0.999945,0,-0.0104934		1.170033
30	31	29		-107.1666,8.656743,88.17621	-0.999945,0,-0.0104934		1.170033
31	32	30		-107.3901,8.656743,109.4813	-0.999945,0,-0.0104934		1.170033
32	33	31		-107.5998,8.656743,129.4662	-0.999945,0,-0.0104934		1.170033
33	34	32		-107.7884,8.656743,147.4419	-0.999945,0,-0.0104934		1.170033
34	59	33		-107.9979,8.656743,167.415	-0.999945,0,-0.0104934		1.170033
35	36	-1		39.65086,7.384211,64.15627	0.999586,0,-0.02877164		6.120029
36	37	35		38.05746,7.384211,78.18486	0.999586,0,-0.02877164		6.120029
37	60	36		38.67074,7.384211,99.49158	0.999586,0,-0.02877164		6.120029
38	39	60		87.77587,7.063328,102.6521	-0.9997231,0,0.02353233		7.920026
39	40	38		87.33687,7.063328,84.0041	-0.9997231,0,0.02353233		7.920026
40	61	39		89.51523,7.063328,63.298	-0.9997231,0,0.02353233		7.920026
41	42	61		-32.96041,7.579452,68.20454	-0.9998761,0,-0.01574004		5.220025
42	43	41		-33.23302,7.579452,85.52146	-0.9998761,0,-0.01574004		5.220025
43	62	42		-33.55806,7.579452,106.1689	-0.9998761,0,-0.01574004		5.220025
44	45	-1		-83.30523,7.323984,100.3286	0.9998761,0,0.01573795		6.420028
45	46	44		-83.02219,7.323984,82.34753	0.9998761,0,0.01573795		6.420028
46	47	45		-82.71812,7.323984,63.03187	0.9998761,0,0.01573795		6.420028
47	48	58		-91.90279,11.25,147.8183	0.02876236,0,0.9995863		-22.67996
48	49	47		-91.90986,9.27322,150.4856	0,0,0.9999965		-0.9299622
49	50	48		-21.96428,11.25,150.6711	0,0,0.9999861		-16.67996
50	51	49		-21.64863,8.569707,153.9926	-0.02097102,0,0.9997801		1.470034
51	52	50		55.72932,11.25,149.9157	-0.02097245,0,0.9997801		-16.67996
52	53	51		55.85123,8.483334,151.91	0.06014738,0,0.9981895		1.770037
53	54	52		94.44177,11.25,149.7961	0.1304973,0,0.9914486		-17.57996
54	63	53		95.83855,8.355308,158.306	0.04707902,0,0.9988912		2.220043
55	6	5		-0.1544908,6.847521,140.2165	0.9910968,0,0.1331437		9.74257
56	15	14		80.30676,7.902514,49.75998	0.09413129,0,-0.9955598		3.892568
57	26	25		-76.28539,8.060007,46.03019	-0.9573136,0,-0.2890513		3.292559
58	47	62		-92.69987,10.32429,107.1979	0.4304926,0,0.9025941		-4.807434
59	35	34		-15.88255,6.75,69.06805	0.9735769,0,0.2283592		15.25997
60	38	37		56.65162,8.018074,151.8948	0.2865068,0,-0.9580784		3.450023
61	41	40		36.78928,6.75,33.53108	-0.9828472,0,0.1844217		12.89724
62	58	43		-41.96962,8.190892,142.6106	-0.9621772,0,0.2724245		2.810116
63	-1	54		68.20973,9.764227,175.0637	-0.5899003,0,-0.8074762		-2.647461

