id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-0.4963053,7.408996,-2.946819	-0.1111228,0,0.9938067		6.000072
2	3	1		-24.86003,8.018061,20.9642	0,0,0.999992		3.450071
3	4	2		-20.44816,6.75,37.35973	0.03263007,0,0.9994675		12.60008
4	5	3		-6.767036,7.233024,48.2182	0.0352464,0,0.9993787		6.900077
5	6	4		-3.953532,6.75,20.7565	0.3619485,0,0.9321981		12.60008
6	7	5		10.92233,6.75,29.70664	0.0221627,0,0.9997544		26.10007
7	8	6		23.57345,6.75,29.42619	0.0221627,0,0.9997544		26.10007
8	9	7		37.55774,6.75,29.11619	0.0221627,0,0.9997544		26.10007
9	10	8		52.97512,6.75,28.77443	0.0221627,0,0.9997544		26.10007
10	11	9		64.95036,6.75,28.50897	0.0221627,0,0.9997544		26.10007
11	12	10		96.03449,6.79323,22.92665	-0.6987902,0,0.7153267		10.50007
12	13	11		111.4774,6.75,47.44865	-0.9862282,0,0.1653904		14.85007
13	14	12		93.98687,6.75,57.93321	-0.9999993,0,0		28.65007
14	15	13		94.18036,6.75,73.25364	-0.9999993,0,0		28.65007
15	16	14		94.19669,6.75,86.57549	-0.9999993,0,0		28.65007
16	17	15		94.2122,6.75,99.23167	-0.9999993,0,0		28.65007
17	18	16		94.22607,6.75,110.5551	-0.9999993,0,0		28.65007
18	19	17		96.89682,6.75,135.8939	-0.8158352,0,-0.5782845		16.65007
19	20	18		69.27361,6.75,153.6488	-0.2116663,0,-0.977342		18.60007
20	21	19		68.34432,6.75,137.127	0,0,-0.9999919		32.70008
21	22	20		54.36852,6.75,137.071	0,0,-0.9999919		32.70008
22	23	21		41.72278,6.75,137.0202	0,0,-0.9999919		32.70008
23	24	22		27.06987,6.75,136.9614	0,0,-0.9999919		32.70008
24	25	23		17.08816,6.75,136.9214	0,0,-0.9999919		32.70008
25	26	24		-3.540704,6.75,136.8386	0,0,-0.9999919		32.70008
26	27	25		-14.85331,6.75,136.7932	0,0,-0.9999919		32.70008
27	28	26		-29.49314,6.75,136.7345	0,0,-0.9999919		32.70008
28	29	27		-43.05105,6.75,136.6801	0,0,-0.9999919		32.70008
29	30	28		-55.0291,6.75,136.632	0,0,-0.9999919		32.70008
30	31	29		-78.6038,6.75,142.0268	0.543613,0,-0.8393359		18.90008
31	32	30		-99.37691,6.75,124.5828	0.9490408,0,-0.3151531		18.00008
32	33	31		-82.92475,6.75,113.4248	0.9999927,0,0		33.30007
33	34	32		-82.97338,6.75,100.7684	0.9999927,0,0		33.30007
34	35	33		-83.01945,6.75,88.77763	0.9999927,0,0		33.30007
35	36	34		-83.0683,6.75,76.0609	0.9999927,0,0		33.30007
36	37	35		-83.11946,6.75,62.73975	0.9999927,0,0		33.30007
37	38	36		-91.01967,6.75,39.58523	0.8393362,0,0.5436127		23.55007
38	39	37		-100.8746,7.862255,45.15191	0.219337,0,0.9756492		4.050066
39	40	38		-89.09322,7.862255,127.8969	0.219337,0,0.9756492		4.050066
40	41	39		-57.64568,6.75,164.8081	0,0,0.999999		32.85005
41	42	40		-46.31622,6.75,162.1557	0,0,0.999999		32.85005
42	43	41		-34.85699,6.75,162.1717	0,0,0.9999926		30.30005
43	44	42		-21.54805,6.75,162.1204	0,0,0.9999926		30.30005
44	45	43		-6.90821,6.75,162.064	0,0,0.9999926		30.30005
45	46	44		9.727981,6.75,161.9999	0,0,0.9999926		30.30005
46	47	45		23.70237,6.75,161.9461	0,0,0.9999926		30.30005
47	48	46		35.85025,6.75,161.8993	0,0,0.9999926		30.30005
48	49	47		47.8283,6.75,161.8531	0,0,0.9999926		30.30005
49	50	48		63.13358,6.75,161.7942	0,0,0.9999926		30.30005
50	51	49		91.54781,6.75,159.3343	-0.6969135,0,0.7171552		16.80005
51	52	50		102.4349,6.75,185.4743	-0.999978,0,0		22.05005
52	53	51		90.4161,6.75,190.09	-0.9996245,0,0.02740055		32.40004
53	54	52		90.78078,6.75,203.3941	-0.9996245,0,0.02740055		32.40004
54	55	53		91.12724,6.75,216.033	-0.9996245,0,0.02740055		32.40004
55	56	54		91.45557,6.75,228.0107	-0.9996245,0,0.02740055		32.40004
56	57	55		91.78413,6.75,239.9968	-0.9996245,0,0.02740055		32.40004
57	58	56		99.65592,6.75,267.7057	-0.8173476,0,-0.5761448		20.10003
58	59	57		66.65301,6.75,283.6708	0.02233567,0,-0.9997506		21.00003
59	60	58		67.06325,6.75,271.7022	0.01448327,0,-0.9998951		28.80004
60	61	59		53.09022,6.75,271.4997	0.01448327,0,-0.9998951		28.80004
61	62	60		39.77067,6.75,271.3067	0.01448327,0,-0.9998951		28.80004
62	63	61		25.79764,6.75,271.1042	0.01448327,0,-0.9998951		28.80004
63	64	62		12.47738,6.75,270.9113	0.01448327,0,-0.9998951		28.80004
64	65	63		-7.515244,7.289081,300.8336	0.4505634,0,-0.8927444		6.600037
65	66	64		-77.55562,8.999989,231.7934	0.103141,0,0.9946668		3.99E-05
66	67	65		-81.46851,11.25,281.0435	0.0116959,0,0.9999316		-22.64996
67	68	66		-81.46851,8.911653,281.0435	0,0,0.9999588		0.3000433
68	69	67		-32.8496,11.25,280.6023	0.04309732,0,0.9990709		-23.69995
69	70	68		-30.1883,9.695278,280.5503	0.01954843,0,0.9998089		-2.399963
70	71	69		32.39194,11.25,279.3272	0.0404813,0,0.9991803		-21.89993
71	72	70		32.39194,9.438935,279.3272	-0.02233814,0,0.9997505		-1.499939
72	73	71		78.96539,11.25,280.3676	0,0,0.9999791		-18.89993
73	74	72		76.19437,9.901667,277.8136	0.04047844,0,0.9991804		-3.149933
74	75	73		96.97904,9.52524,252.5421	-0.5610721,0,0.8277669		-1.799957
75	76	74		99.63219,7.37807,268.1484	0.7746134,0,0.6324351		6.150053
76	77	75		111.2676,8.779447,293.1623	0.999978,0,0		0.7500515
77	78	76		111.378,8.779447,276.5264	0.999978,0,0		0.7500515
78	79	77		111.4752,8.779447,261.8868	0.999978,0,0		0.7500515
79	80	78		111.5944,8.779447,243.92	0.999978,0,0		0.7500515
80	81	79		111.7094,8.779447,226.6008	0.999978,0,0		0.7500515
81	82	80		111.8082,8.779447,211.715	0.999978,0,0		0.7500515
82	83	81		111.9275,8.779447,193.7482	0.999978,0,0		0.7500515
83	84	82		112.0424,8.691708,176.4469	0.999978,0,0		1.050051
84	85	83		112.1528,8.691708,159.811	0.999978,0,0		1.050051
85	86	84		112.2677,8.691708,142.4954	0.999978,0,0		1.050051
86	87	85		112.3782,8.691708,125.8429	0.999978,0,0		1.050051
87	88	86		112.5108,8.691708,105.8612	0.999978,0,0		1.050051
88	89	87		112.6301,8.691708,87.87786	0.999978,0,0		1.050051
89	90	88		112.7583,8.691708,68.56119	0.999978,0,0		1.050051
90	91	89		112.8732,8.691708,51.24821	0.999978,0,0		1.050051
91	92	90		112.9925,8.691708,33.26035	0.999978,0,0		1.050051
92	93	91		86.17242,7.036877,41.95246	0.7973736,0,-0.6034859		8.100056
93	94	92		109.2238,8.389243,14.65001	0,0,-0.9999919		2.100058
94	95	93		89.23949,8.389243,14.56976	0,0,-0.9999919		2.100058
95	96	94		67.92404,8.389243,14.48416	0,0,-0.9999919		2.100058
96	97	95		48.60472,8.389243,14.40658	0,0,-0.9999919		2.100058
97	98	96		-35.32401,8.389243,14.06956	0,0,-0.9999919		2.100058
98	99	97		-57.28377,8.389243,13.98138	0,0,-0.9999919		2.100058
99	100	98		-78.578,8.389243,13.89587	0,0,-0.9999919		2.100058
100	101	99		-102.534,8.389243,13.79967	0,0,-0.9999919		2.100058
101	102	100		-80.05261,7.233027,46.8513	-0.8306925,0,-0.5567315		6.900061
102	103	101		-113.5123,8.474735,29.9869	-0.9999296,0,-0.01186931		1.800045
103	104	102		-113.7257,8.474735,47.97018	-0.9999296,0,-0.01186931		1.800045
104	105	103		-113.9391,8.474735,65.95358	-0.9999296,0,-0.01186931		1.800045
105	106	104		-114.1525,8.474735,83.93478	-0.9999296,0,-0.01186931		1.800045
106	107	105		-113.6967,8.474735,101.9284	-0.9999296,0,-0.01186931		1.800045
107	108	106		-112.6036,8.474735,121.9748	-0.9999296,0,-0.01186931		1.800045
108	109	107		-112.8328,8.474735,141.2907	-0.9999296,0,-0.01186931		1.800045
109	110	108		-113.0937,8.474735,163.2712	-0.9999296,0,-0.01186931		1.800045
110	111	109		-76.11749,8.999987,192.6751	-0.920369,0,0.3910512		4.29E-05
111	112	110		-77.8952,8.999987,252.1662	-0.9992831,0,0.0378629		4.30E-05
112	113	111		-99.83947,11.07872,252.9975	-0.999071,0,0.04309469		-8.999969
113	-1	112		-99.79001,6.834473,254.9933	-0.9996929,0,0.02477932		9.900043
