ID	type	x	z	theta	cover	uniqueCode	color
1	35.0x7.0x6.0	38.16036	43.4536	0	1	0	0.4245283,0.4245283,0.5411765,1
2	35.0x7.0x6.0	79.28584	84.75308	270	1	1	0.4245283,0.4245283,0.5411765,1
3	35.0x7.0x6.0	38.64374	125.3858	180	1	2	0.4245283,0.4245283,0.5411765,1
4	35.0x7.0x6.0	-31.45598	125.3942	180	1	3	0.4245283,0.4245283,0.5411765,1
5	35.0x7.0x6.0	-72.07526	84.82839	90	1	4	0.4245283,0.4245283,0.5411765,1
6	35.0x7.0x6.0	-31.13442	176.2737	0	1	36	0.4245283,0.4245283,0.5411765,1
7	35.0x7.0x6.0	38.52926	176.2737	0	1	37	0.4245283,0.4245283,0.5411765,1
8	35.0x7.0x6.0	78.1058	217.155	270	1	38	0.4245283,0.4245283,0.5411765,1
9	35.0x7.0x6.0	37.71472	257.9127	180	1	39	0.4245283,0.4245283,0.5411765,1
12	5.0x18.0x30.0	-25.36668	66.81271	270	-1	93	0.4509804,0.1529412,0.06666667,0
